,categoria,product_id,envios,ventas,aceptación,contribución,title
82,complementos,6fe5f269-6c61-4486-861f-46ab1c33b900,5168,2551,0.4936145510835913,0.022642155859867157,York Foulard closet 
83,complementos,71c7dac3-f07c-4abe-b1f2-2226d947d7f3,6928,3232,0.4665127020785219,0.028686573006307583,Dunstand Scarf nude 
84,complementos,726fc560-8397-47fb-ac9f-41d1be50f222,3233,1495,0.46241880606248065,0.013269315174637945,Brina Scarf closet 
85,complementos,728832d7-a69b-4956-b09c-a88556c8b859,9632,2441,0.25342607973421927,0.021665818288489114,Sophie Bag bohck 
86,complementos,74343f9b-e16c-4572-ba97-a84ea5434166,2067,1034,0.5002418964683115,0.009177573170953602,Windsor Scarf checks
87,complementos,74648d78-662e-4c0b-9e19-567d7dea721b,3716,1342,0.3611410118406889,0.011911318370812121,Esprit Bag shopper 
88,complementos,74d1da00-e390-4dff-a940-e3d2c86c3ea7,18473,7697,0.41666215557841174,0.06831700260815268,Cloanimal Scarf boiled 
89,complementos,7523a906-edb8-49ff-8262-a9888680a3e7,7763,3144,0.40499806775731034,0.02790550294920515,Anwick Scarf closet 
90,complementos,7635edd9-42a4-4ace-8b84-83a7ca5968cb,4750,1737,0.3656842105263158,0.01541725783166964,Indie Bag anhka 
91,complementos,77ca3fbc-d74e-4088-bb74-7555c4c077c1,10072,2770,0.2750198570293884,0.024585955206519804,Theo Bag sew 
92,complementos,7d5f2a88-5c8a-47f8-9529-4f1b75ea6043,5080,2001,0.3938976377952756,0.017760468002976943,Cahier Foulard juventas
93,complementos,7e3ae6eb-07ee-4970-ad9e-72e326a76899,17044,6025,0.3534968317296409,0.05347667152320643,Celes Bag closet 
94,complementos,7efe0f8f-d0ce-4484-b123-e55c086679e6,15173,6311,0.41593620246490476,0.05601514920878935,Jungla Scarf sew
95,complementos,7f30700f-b2bc-4cef-a378-2d83cb597037,4464,1451,0.3250448028673835,0.012878780146086729,Filperea Bag cow 
96,complementos,800983ae-124e-4a5e-a99a-d07bdb82d818,2089,990,0.4739109621828626,0.008787038142402386,Conventry Scarf checks 
97,complementos,825fd038-89fc-4a4f-a545-4143a85c8605,9038,3716,0.4111529099358265,0.03298245832037097,Daphne Bag nude 
98,complementos,83bd0e8b-bd7d-48db-8a0d-87d56eb191f6,4464,2023,0.4531810035842294,0.01795573551725255,Cahier Foulard vesta 
99,complementos,85620518-894e-4b41-adab-9f44806aa446,7279,3210,0.4409946421211705,0.028491305492031976,Cat Bag closet 
100,complementos,85b78783-146d-4c4c-b463-cf96d0aaa491,5674,1495,0.26348255199154036,0.013269315174637945,Filpippin Bag suede
101,complementos,85fea60c-ac42-45b6-91df-6b2a130a1db6,9720,3914,0.40267489711934157,0.03473986594885145,Cahier Foulard minerva 
102,complementos,86dd77ee-c311-4231-9fa5-678ebc90782a,8687,3188,0.36698515022447337,0.02829603797775637,Diane Bag nude 
103,complementos,881a1c62-f59b-4cdd-a48e-76e871b4d3cd,15108,4397,0.2910378607360339,0.039026875466811405,Syna Bag cahier 
104,complementos,8a0b88b6-0d6d-4413-88cf-a90024bdbcb1,8136,3562,0.43780727630285154,0.031615585720441715,Lincoln Bag closet 
105,complementos,8a7b4bf2-dc4c-4698-a7f4-69a77b612bf1,11831,5057,0.42743639590905247,0.044884900895079655,Nando Scarf stola 
106,complementos,8b361e4f-f5e4-41da-9ff8-728d5b166fc8,2617,946,0.361482613679786,0.008396503113851168,Film Bag autum 
107,complementos,8bcda932-aa96-42d0-ba08-5958bef6aec7,3277,968,0.29539212694537686,0.008591770628126777,Film Bag summer 
108,complementos,8da9d2d5-7531-4849-8623-d177b7c12261,12666,5893,0.4652613295436602,0.05230506643755278,Warwick Scarf closet 
109,complementos,8dcf18c2-d259-4819-afb8-d17aa05aad55,44,22,0.5,0.00019526751427560856,Ludlow Scarf cahier 
110,complementos,9082de35-a585-411a-b782-a0fd346322f7,15988,6772,0.42356767575681764,0.06010689121247369,Maltinto Scarf small
111,complementos,90ad2c50-2b87-4369-bc06-54b524f7bab1,9698,3628,0.3740977521138379,0.032201388263268536,Roches Bag closet 
112,complementos,91b7dbf9-96bd-4ef0-b289-5dc4109d39c8,7851,4309,0.5488472806011973,0.03824580540970897,Cosy Scarf checks
113,complementos,92c22ffe-37af-4897-b715-8672f9304a9c,2023,748,0.3697478991596639,0.006639095485370691,Maria Scarf nice 
114,complementos,93cc89ac-f4f8-41ca-9420-2bd7fc4869e7,9302,3606,0.38765856804988175,0.03200612074899293,Limbo Scarf stola
115,complementos,94a0c2a2-0f4b-4bfb-90bd-048fe8ea7ee8,9456,4487,0.4745135363790186,0.03982569711612071,Charis Bag closet 
116,complementos,950b6bb1-5b56-4084-bc2b-859a8a032142,5498,2045,0.3719534376136777,0.018151003031528157,Cahier Foulard diana
117,complementos,96e0ef7b-e8cb-4513-a43b-bd88f948a5d0,1760,814,0.4625,0.007224898028197517,Pcherle Scarf long 
118,complementos,96f96f81-6897-4f83-a54a-bc7474811128,10116,2485,0.24565045472518782,0.02205635331704033,Saba Bag bohck
119,complementos,9724f8f9-1773-448b-b8ef-8a516d40834c,1957,1034,0.5283597342871742,0.009177573170953602,Line Scarf jaune
120,complementos,993165a3-309e-4859-8e9a-c22b3902d686,10357,4860,0.4692478516945061,0.043136369062702615,Sparta Scarf sew 
121,complementos,993ede32-8b44-4226-9035-1dc0f2ef6571,6158,2793,0.4535563494641117,0.02479009851689885,Lindis Scarf closet 
122,complementos,996276cc-85d5-4906-ada9-38c58a5c0980,7433,3056,0.41113951298264495,0.027124432892102715,Sibley Bag sew 
